שם נהג,תעודת זהות,טלפון נהג,שם מעסיק,טלפון מעסיק,אירועים חריגים,סטטוס
עמית טויטו,378009742,564759382,בדארנה-אלון,98924115,לתיג ומעיוט וואל מנק גולר לרטי.,מנוע
יוסף אוחיון,689161385,21609753,"הרשקוביץ, קינן and בראון",08-3287-115,תרבנך לכנו השמה היושבב בורק? וחאית.,מנוע
אפרת עמר,687583849,09-7196-593,בסול-פישר,02-9471-122,קוויז קלובר רוגצה.,מנוע
טוהר נסים,395959887,08-3969-477,"מילר, ניסן and שפר",051 591-7953,אדיפיסינג הדש ניצאחו וסתעד.,מנוע
יאיר אוחיון,940867096,43098910,מחאמיד PLC,03-6151-090,שעותלשך בריקנה בורק? גק.,מנוע
שרה אבראהים,557004741,03-4131-456,אוחיון Group,02-9163-457,בראיט נולום שערש איפסום נון קוויז.,מנוע
אריאל לרנר,574931073,04-0769-845,פרידמן-גליק,27150842,סטום לכימפו מוסן נולום.,מנוע
שיינדל צדוק,242103589,09-6610-935,גולדשטיין Ltd,056 9606960,להאמית דס בעליק לפמעט.,מנוע
יצחק סרחאן-רביבו,631054099,054-706-3812,חלפון Ltd,055-0300891,בורק? מנת קונדימנטום הועניב.,מנוע
איה צדוק-חיימוב,187343983,24714285,קליין LLC,20034855,קרהשק איבן סוליסי ניסי מרגשי נמרגי.,מנוע
נויה חדד,677596634,04-3694-022,ויס-עיסא,35900422,היושבב זותה לקטוס הכייר ליץ דז.,מנוע
אלון כהן,176088441,09-6546-118,כהן-פרנקל,051-717-6045,רוגצה מנורך וק.,מנוע
נוי אוחנה-איבגי,905166323,08-0601-688,יעקב-כהן,86153492,ברשג בגורמי צוט קוויס אדנדום.,מנוע
עלמה ברנס,633743611,054 303 9213,ח'ורי-לביא,41972966,לכנוץ רוגצה וולופטה לכנוץ לכנוץ נולום.,מנוע
ליאור גבארה,465308776,055-082-4926,"דיין, נעים and כהן",38013204,סטום להאמית קולורס.,מנוע
שאם יצחק,498703816,058 809 1891,"טל, סרחאן and דורון",057-6993002,למטכין דלאמת אלית קולהע.,מנוע
הדס חן,969771176,050 223 4500,טאהא-כהן,32560976,איבן ליבם בליקרה אט מורגם.,מנוע
איילה לוגסי,472231911,86710979,"שורץ, מלכה and שמעון",09-2641-830,להאמית סחטיר לורם סת אלמנקום.,מנוע
רפאל כהן,128621663,83188684,בוחבוט PLC,051-1611620,כאנה יהול לכנוץ קולורס וולופטה.,מנוע
דור אנגל,842787912,25520351,"רוזן, בשארה and ברק",03-0450-932,לורם ליץ ניצאחו דס.,מנוע
אליהו ויצמן,414211204,09-8529-118,"הדר, חורי and בוסקילה",43583324,יהול איבן בלינדו אדיפיסינג אמט.,מנוע
טוהר לוי,895512574,49645137,"חדד, שטרן and אוחיון",050-6573547,שמחויט סתשם הדש.,מנוע
נטלי עמאש,579065352,052 662 3758,זינגר Ltd,37340797,דול בגורמי תוק.,מנוע
ליאור טל,906758604,517386401,רביבו-אגבאריה,96896714,הועניב סחטיר קראס מונפרד איאקוליס.,מנוע
הדסה ותד,669282276,08-2164-482,"כהן, גאבר and אלמוג",054 475 9221,וק מונפרד בלינך.,מנוע
זינה כהן,545718180,87785707,בדראן-כהן,80576081,נונסטי סולגק נולום.,מנוע
אדם מזרחי,390262195,09-3294-316,סבג-חטיב,056-627-2852,קרהשק כלרשט סת ותלברו.,מנוע
טוהר ג'בארין,310662418,053 9060312,אוזן-מטר,04-3949-184,יבש איף ניסי נובש מנת.,מנוע
